seconds,reading
0,85735
5,85746
10,85735
15,85746
20,85746
25,85725
30,85714
35,85714
40,85704
45,85693
50,85683
55,85672
60,85672
65,85662
70,85651
75,85641
80,85630
85,85620
90,85620
95,85609
100,85578
105,85546
110,85504
115,85484
120,85473
125,85463
130,85410
135,85389
140,85410
145,85431
150,85410
155,85368
160,85368
165,85358
170,85316
175,85295
180,85316
185,85337
190,85368
195,85389
200,85410
205,85431
210,85473
215,85463
220,85452
225,85442
230,85431
235,85484
240,85494
245,85484
250,85484
255,85494
260,85504
265,85546
270,85536
275,85557
280,85588
285,85609
290,85620
295,85620
300,85630
305,85641
310,85641
315,85672
320,85651
325,85651
330,85651
335,85641
340,85672
345,85672
350,85683
355,85693
360,85704
365,85714
370,85704
375,85704
380,85704
385,85714
390,85714
395,85714
400,85725
405,85714
410,85735
415,85714
420,85693
425,85693
430,85693
435,85704
440,85693
445,85672
450,85651
455,85630
460,85578
465,85536
470,85494
475,85515
480,85546
485,85515
490,85463
495,85452
500,85463
505,85452
510,85442
515,85452
520,85452
525,85473
530,85504
535,85546
540,85515
545,85515
550,85525
555,85525
560,85494
565,85484
570,85452
575,85421
580,85389
585,85400
590,85421
595,85421
600,85400
605,85400
610,85421
615,85379
620,85421
625,85452
630,85504
635,85557
640,85578
645,85609
650,85599
655,85473
660,85389
665,85463
670,85546
675,85557
680,85515
685,85484
690,85442
695,85463
700,85504
705,85484
710,85379
715,85337
720,85295
725,85316
730,85316
735,85243
740,85316
745,85452
750,85525
755,85567
760,85588
765,85567
770,85588
775,85599
780,85588
785,85578
790,85567
795,85546
800,85525
805,85515
810,85515
815,85504
820,85494
825,85484
830,85473
835,85473
840,85463
845,85452
850,85368
855,85337
860,85348
865,85410
870,85452
875,85473
880,85515
885,85546
890,85588
895,85620
900,85630
905,85641
910,85662
915,85662
920,85672
925,85672
930,85651
935,85641
940,85662
945,85693
950,85693
955,85693
960,85704
965,85735
970,85735
975,85735
980,85735
985,85725
990,85735
995,85746
1000,85756
1005,85767
1010,85777
1015,85756
1020,85756
1025,85746
1030,85735
1035,85767
1040,85767
1045,85777
1050,85767
1055,85767
1060,85746
1065,85746
1070,85735
1075,85704
1080,85693
1085,85725
1090,85725
1095,85735
1100,85735
1105,85735
1110,85735
1115,85735
1120,85725
1125,85746
1130,85746
1135,85756
1140,85777
1145,85788
1150,85788
1155,85788
1160,85809
1165,85819
1170,85830
1175,85840
1180,85830
1185,85819
1190,85819
1195,85809
1200,85809
1205,85809
1210,85798
1215,85788
1220,85777
1225,85746
1230,85756
1235,85746
1240,85725
1245,85704
1250,85693
1255,85683
1260,85662
1265,85662
1270,85641
1275,85620
1280,85578
1285,85557
1290,85525
1295,85494
1300,85484
1305,85473
1310,85431
1315,85421
1320,85410
1325,85421
1330,85431
1335,85452
1340,85442
1345,85463
1350,85431
1355,85400
1360,85400
1365,85389
1370,85389
1375,85389
1380,85400
1385,85442
1390,85452
1395,85442
1400,85442
1405,85421
1410,85421
1415,85400
1420,85389
1425,85410
1430,85400
1435,85368
1440,85368
1445,85379
1450,85379
1455,85400
1460,85400
1465,85400
1470,85410
1475,85410
1480,85400
1485,85379
1490,85358
1495,85358
1500,85348
1505,85337
1510,85358
1515,85358
1520,85348
1525,85348
1530,85368
1535,85368
1540,85368
1545,85358
1550,85379
1555,85421
1560,85421
1565,85400
1570,85400
1575,85431
1580,85463
1585,85473
1590,85494
1595,85515
1600,85546
1605,85578
1610,85620
1615,85620
1620,85620
1625,85630
1630,85641
1635,85651
1640,85672
1645,85672
1650,85672
1655,85683
1660,85693
1665,85704
1670,85714
1675,85714
1680,85735
